ID;X.15N_E;X.15N_M;X.15N_I;YEAR;Month;AGE_CLASS;relative;d1_E;d1_M;d1_I;d0;c;t3;t2;t1;d41;sampling date;birth_date;julian_date;method;sampled
C2;12.7;12.4;11.9;2011;2;c;FC2;12;11.5;11.5;13;3.291417142;4.331318487;8.803006124;16.59372993;10.50447932;21.02.2011;16.02.2011;46.7;1;pred_calves
C4;13.3;13.1;12.7;2011;2;c;FC4;12.8;12.5;12.6;13.8;4.091417142;7.296285421;10.32636024;16.59372993;11.30447932;23.02.2011;15.02.2011;45.7;1;pred_calves
C5C;12.3;11.7;11.5;2011;2;c;M5;11.2;11.9;11.7;12.9;-3.604590859;-0.870368411;4.43614295;6.251316854;8.657614851;23.02.2011;23.02.2011;53.9;1;pred_calves
C2C;12.6;12.1;11.8;2011;2;c;M2;11.6;12;12.1;13.1;-1.462874287;0;4.995628023;8.08218449;9.356718986;21.02.2011;21.02.2011;51;1;pred_calves
C3C;12.7;12.2;11.9;2011;2;c;M3;11.8;12.3;12.2;13.3;-1.262874287;0.984762126;6.016828398;9.126571568;9.556718986;21.02.2011;20.02.2011;50;1;pred_calves
C6C;13;12.6;12.3;2011;2;c;M6;12.3;12.6;12.6;13.6;0.978842284;3.40148119;8.071279709;11.68035115;10.35582312;23.02.2011;19.02.2011;49.6;1;pred_calves
C1C;12.6;12.1;11.9;2011;2;c;M1;11.7;12.1;12;13.1;-0.492016002;1.050018193;6.423408519;8.632753124;9.606271054;21.02.2011;19.02.2011;49.9;1;pred_calves
C4C;12.5;12;11.7;2011;2;c;M4;11.5;12.1;12.2;13.2;-3.304590859;0;4.43614295;7.167936919;8.957614851;23.02.2011;23.02.2011;53;1;pred_calves
P01;12.7;;;2019;1;c;F01;11.24;12.04;12.28;13.28;-6.525509031;-3.341833747;;;8.189137821;25.01.2019;28.01.2019;27.3;1;sampled_mc
P02;12.12;12.02;11.52;2019;1;c;F02;10.62;10.67;11.47;12.47;-5.490878288;-3.974523359;-3.188724017;0.808828747;7.85328675;28.01.2019;31.01.2019;31;1;sampled_mc
P03;15.9;16.11;15.75;2019;1;c;F03;15.53;15.55;15.6;16.6;6.211816342;8.693659772;5.73449766;10.84688545;13.92979288;28.01.2019;19.01.2019;18.3;1;sampled_mc
